apk_entry,bytes,width,height,transparent_ratio,opaque_ratio,partial_alpha_ratio,unique_colors_64px,avg_rgb_stddev_64px,score,reasons
res/aY5.png,8231,192,192,0.1653,0.7203,0.1144,572,88.98,4,alpha+square
res/aYB.png,23957,192,192,0.1681,0.7136,0.1183,1344,75.76,4,alpha+square
res/aYd.png,9322,192,192,0.1653,0.7203,0.1144,469,98.95,4,alpha+square
res/aYn.png,13498,192,192,0.1623,0.7161,0.1216,1115,75.88,4,alpha+square
res/aZV.png,13034,192,192,0.165,0.7202,0.1148,1008,81.33,4,alpha+square
res/abP.png,30133,192,192,0.1653,0.7203,0.1144,2551,77.25,4,alpha+square
res/acW.png,15339,192,192,0.1626,0.7161,0.1212,1075,75.59,4,alpha+square
res/acd.png,18148,256,256,0.1644,0.7187,0.117,940,86.87,4,alpha+square
res/adh.png,15472,192,192,0.165,0.7203,0.1147,1270,80.71,4,alpha+square
res/aer.png,13340,192,192,0.1615,0.7203,0.1182,985,75.38,4,alpha+square
res/afW.png,17948,192,192,0.165,0.7203,0.1147,1468,73.9,4,alpha+square
res/agC.png,18227,256,256,0.1644,0.7187,0.117,1004,75.62,4,alpha+square
res/ah-.png,14470,192,192,0.1649,0.7203,0.1149,905,70.2,4,alpha+square
res/aiG.png,15397,192,192,0.1653,0.7203,0.1144,1104,78.15,4,alpha+square
res/aiR.png,17800,192,192,0.1684,0.7133,0.1183,1029,69.71,4,alpha+square
res/ajB.png,6925,192,192,0.1651,0.7202,0.1147,412,94.86,4,alpha+square
res/ajy.png,17745,192,192,0.1649,0.7203,0.1149,1492,93.4,4,alpha+square
res/akL.png,10854,192,192,0.1652,0.7203,0.1145,755,76.05,4,alpha+square
res/alK.png,17343,192,192,0.165,0.7203,0.1147,1556,67.77,4,alpha+square
res/alS.png,12302,192,192,0.1653,0.7203,0.1144,1300,81.67,4,alpha+square
res/alV.png,15322,192,192,0.165,0.7203,0.1147,1460,80.41,4,alpha+square
res/amJ.png,22484,192,192,0.1681,0.7136,0.1183,1210,82.14,4,alpha+square
res/amg.png,12763,192,192,0.165,0.7203,0.1147,946,86.7,4,alpha+square
res/amz.png,14171,192,192,0.1668,0.7195,0.1136,1507,82.82,4,alpha+square
res/an9.png,14768,192,192,0.1684,0.7133,0.1183,1051,102.27,4,alpha+square
res/anN.png,15091,192,192,0.1653,0.7203,0.1144,1295,85.13,4,alpha+square
res/aoL.png,13441,192,192,0.165,0.7203,0.1147,1162,79.86,4,alpha+square
res/aqm.png,11745,192,192,0.1654,0.7203,0.1143,1085,77.53,4,alpha+square
res/arN.png,11198,192,192,0.1626,0.7161,0.1212,611,103.91,4,alpha+square
res/as4.png,14630,192,192,0.165,0.7203,0.1147,1143,82.31,4,alpha+square
res/as6.png,20681,192,192,0.1655,0.7136,0.1209,1059,80.1,4,alpha+square
res/asC.png,11916,192,192,0.1653,0.7203,0.1144,842,64.14,4,alpha+square
res/asb.png,17284,192,192,0.1681,0.7136,0.1183,1064,70.45,4,alpha+square
res/auK.png,16714,192,192,0.165,0.7203,0.1147,1083,83.28,4,alpha+square
res/auQ.png,12996,192,192,0.1653,0.7203,0.1144,939,67.6,4,alpha+square
res/awG.png,18604,192,192,0.165,0.7203,0.1147,1115,91.4,4,alpha+square
res/awd.png,12643,192,192,0.165,0.7203,0.1147,810,79.62,4,alpha+square
res/axb.png,11576,192,192,0.165,0.7203,0.1147,804,71.68,4,alpha+square
res/axe.png,12955,192,192,0.1653,0.7203,0.1144,994,90.12,4,alpha+square
