file,apk_entry,sha256_16,bytes,width,height,transparent_ratio,opaque_ratio,partial_alpha_ratio,unique_colors_64px,avg_rgb_stddev_64px,score,reasons
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__8ha.9.png,res/8ha.9.png,e98f192f013a9226,207,6,6,0.0,0.0,1.0,1,0.0,7,alpha+low-colors+low-stddev
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__9NG.9.png,res/9NG.9.png,0caaea0060b3772b,187,25,22,0.9091,0.0909,0.0,2,0.0,7,alpha+low-colors+low-stddev
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__9Xj.9.png,res/9Xj.9.png,94fe9824714ad94c,192,19,16,0.875,0.125,0.0,2,0.0,7,alpha+low-colors+low-stddev
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__BLb.9.png,res/BLb.9.png,f65a87efa2f53d6f,229,48,48,0.9167,0.0833,0.0,2,0.0,7,alpha+low-colors+low-stddev
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__CKS.9.png,res/CKS.9.png,671d27e5a4b42111,244,12,12,0.0,0.0,1.0,3,0.0,7,alpha+low-colors+low-stddev
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__D_t.9.png,res/D_t.9.png,9fd37c82f87df004,178,12,11,0.9091,0.0,0.0909,2,0.0,7,alpha+low-colors+low-stddev
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__EA2.9.png,res/EA2.9.png,a0d63ec76ec21d40,200,38,33,0.9091,0.0909,0.0,2,0.0,7,alpha+low-colors+low-stddev
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__EPI.png,res/EPI.png,5358737cb680ea1c,310,20,24,0.2292,0.5667,0.2042,53,50.44,7,alpha+low-colors+low-stddev
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__GtE.9.png,res/GtE.9.png,e7e36c3cbcedc97b,202,48,48,0.8333,0.1667,-0.0,2,0.0,7,alpha+low-colors+low-stddev
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__JJc.9.png,res/JJc.9.png,a04708369abe0920,280,32,32,0.8711,0.0,0.1289,4,0.0,7,alpha+low-colors+low-stddev
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__KMr.png,res/KMr.png,1e3b02e24fa431b1,415,48,48,0.1823,0.7391,0.0786,67,0.0,7,alpha+low-colors+low-stddev
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__K_h.9.png,res/K_h.9.png,fb71e11c090133a9,216,24,24,0.9167,0.0833,0.0,2,0.0,7,alpha+low-colors+low-stddev
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__Noy.9.png,res/Noy.9.png,682c466d3e4f39e3,199,38,33,0.8182,0.1818,-0.0,2,0.0,7,alpha+low-colors+low-stddev
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__Pg8.9.png,res/Pg8.9.png,5d4161bf9482b5d2,207,6,6,0.0,0.0,1.0,1,0.0,7,alpha+low-colors+low-stddev
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__QJr.9.png,res/QJr.9.png,23439b8899f4b63d,189,25,22,0.8182,0.1818,-0.0,2,0.0,7,alpha+low-colors+low-stddev
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__RV0.png,res/RV0.png,7442cda653acbacd,563,48,48,0.658,0.099,0.2431,65,0.0,7,alpha+low-colors+low-stddev
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__SVj.9.png,res/SVj.9.png,dbc0af61f440bb3f,211,6,6,0.0,0.0,1.0,1,0.0,7,alpha+low-colors+low-stddev
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__UEu.9.png,res/UEu.9.png,8436624220fba246,222,6,6,0.0,0.0,1.0,2,0.0,7,alpha+low-colors+low-stddev
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__W48.9.png,res/W48.9.png,7c45e46e405f5b4a,217,13,41,0.0,0.0,1.0,2,0.0,7,alpha+low-colors+low-stddev
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__Wzh.png,res/Wzh.png,c131ab0e2eb9879b,196,18,18,0.0741,0.5926,0.3333,20,0.0,7,alpha+low-colors+low-stddev
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__X3M.9.png,res/X3M.9.png,44c29766b2d88b78,221,18,18,0.0,0.0,1.0,1,0.0,7,alpha+low-colors+low-stddev
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__Y7y.9.png,res/Y7y.9.png,a77aaa207fd579f6,212,18,18,0.0,0.0,1.0,1,0.0,7,alpha+low-colors+low-stddev
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__Ytq.9.png,res/Ytq.9.png,07bf5ce5ff893725,209,12,12,0.0,0.0,1.0,1,0.0,7,alpha+low-colors+low-stddev
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__YwO.9.png,res/YwO.9.png,a933aaebbeae489d,186,19,16,0.8125,0.1875,0.0,2,0.0,7,alpha+low-colors+low-stddev
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__ZNQ.9.png,res/ZNQ.9.png,475f03b3ccff04fc,229,21,63,0.0,0.0,1.0,2,0.0,7,alpha+low-colors+low-stddev
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__arF.png,res/arF.png,29953bd8019dd96b,391,36,36,0.1358,0.6914,0.1728,51,0.0,7,alpha+low-colors+low-stddev
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__bXe.9.png,res/bXe.9.png,a2f1a37af8e69932,244,9,9,0.0,0.0,1.0,3,0.0,7,alpha+low-colors+low-stddev
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__dW-.png,res/dW-.png,4133830f43f9baa0,267,24,24,0.1111,0.6528,0.2361,37,0.0,7,alpha+low-colors+low-stddev
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__dYM.png,res/dYM.png,5ced2ab774853050,404,48,48,0.625,0.178,0.197,44,0.0,7,alpha+low-colors+low-stddev
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__eRv.png,res/eRv.png,c8825cd637e59a02,356,32,32,0.6367,0.0742,0.2891,44,0.0,7,alpha+low-colors+low-stddev
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__evJ.9.png,res/evJ.9.png,89c28e887b0d60c0,228,21,63,0.0,0.0,1.0,2,0.0,7,alpha+low-colors+low-stddev
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__g-p.png,res/g-p.png,3dbbad926d540586,585,40,48,0.2656,0.6255,0.1089,114,53.0,7,alpha+low-colors+low-stddev
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__hhV.9.png,res/hhV.9.png,d5c644b00ee79bd4,212,9,9,0.0,0.0,1.0,1,0.0,7,alpha+low-colors+low-stddev
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__jS-.9.png,res/jS-.9.png,fd719e497aaf091c,236,28,84,0.0,0.0,1.0,3,0.0,7,alpha+low-colors+low-stddev
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__lPz.9.png,res/lPz.9.png,b8b26708d71b4c7a,194,24,24,0.7917,0.1667,0.0417,3,50.96,7,alpha+low-colors+low-stddev
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__ly01.png,res/ly01.png,dc08af9d14e6b673,272,27,27,0.1262,0.6708,0.203,33,0.0,7,alpha+low-colors+low-stddev
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__o9y.9.png,res/o9y.9.png,94ae2273a335672c,260,42,126,0.0,0.0,1.0,4,0.0,7,alpha+low-colors+low-stddev
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__opy.9.png,res/opy.9.png,f81412c5131046a8,286,48,48,0.9132,0.0,0.0868,3,0.0,7,alpha+low-colors+low-stddev
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__pyy.9.png,res/pyy.9.png,a15171ead4b1cd9b,217,13,41,0.0,0.0,1.0,2,0.0,7,alpha+low-colors+low-stddev
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__qpl.png,res/qpl.png,6151450ece3ab966,197,18,18,0.0988,0.6173,0.284,21,0.0,7,alpha+low-colors+low-stddev
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__s0a.png,res/s0a.png,63fad0a19cb9e416,403,36,36,0.1327,0.6852,0.1821,57,0.0,7,alpha+low-colors+low-stddev
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__s3O.9.png,res/s3O.9.png,8c6846f4105ef1c0,245,18,18,0.0,0.0,1.0,3,0.0,7,alpha+low-colors+low-stddev
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__sgl.9.png,res/sgl.9.png,67e701476927078d,226,36,36,0.9167,0.0833,0.0,2,0.0,7,alpha+low-colors+low-stddev
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__tSN.png,res/tSN.png,caf1e473df6702c2,321,32,32,0.5625,0.124,0.3135,33,0.0,7,alpha+low-colors+low-stddev
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__tU0.9.png,res/tU0.9.png,91b8358e22ac1b85,208,9,9,0.0,0.0,1.0,1,0.0,7,alpha+low-colors+low-stddev
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__uu2.9.png,res/uu2.9.png,3633ec99d66aae43,204,36,36,0.8056,0.1667,0.0278,3,41.91,7,alpha+low-colors+low-stddev
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__v4k.9.png,res/v4k.9.png,a7523ccf037f7c31,208,9,9,0.0,0.0,1.0,1,0.0,7,alpha+low-colors+low-stddev
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__vzR.9.png,res/vzR.9.png,fa50162bdb3501c6,181,12,11,0.8182,0.1818,-0.0,2,0.0,7,alpha+low-colors+low-stddev
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__w_V.png,res/w_V.png,055d5f87b1bbb667,214,32,32,0.6484,0.0039,0.3477,19,0.0,7,alpha+low-colors+low-stddev
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__x3E.9.png,res/x3E.9.png,93b7657184473d58,212,18,18,0.0,0.0,1.0,1,0.0,7,alpha+low-colors+low-stddev
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__zEr.png,res/zEr.png,a547431febf108cc,324,32,32,0.6992,0.0391,0.2617,35,0.0,7,alpha+low-colors+low-stddev
